group,idnews,veracity,theme,imprecision,split,desirability
1,1,0,3,4.54545454545455,6.45454545454545,7.36363636363636
1,2,1,17,5.81818181818182,5.45454545454545,6.36363636363636
1,7,1,18,4.90909090909091,5.90909090909091,4.63636363636364
1,12,0,23,6.45454545454545,6.90909090909091,4.81818181818182
1,19,0,28,4,7.36363636363636,7.81818181818182
1,21,1,31,6.1,5,6.5
1,27,1,34,5.09090909090909,4.72727272727273,5.81818181818182
1,30,1,39,7.1,4.3,6.4
1,36,0,50,7.1,7.5,7.4
1,38,1,64,6.7,4.1,5.7
1,53,1,70,6.9,8.7,7.4
1,62,0,74,7.5,6.2,6.2
1,68,0,76,5.36363636363636,8,5.63636363636364
1,69,0,80,4.36363636363636,8.09090909090909,4.27272727272727
1,75,1,85,3,4.3,5.2
1,77,1,87,3.45454545454545,3.90909090909091,5.45454545454545
1,78,0,90,4.9,3.5,7.4
1,81,0,93,3.8,4,8
1,86,1,97,7.45454545454545,6.54545454545455,4.63636363636364
1,88,1,103,6.27272727272727,8.09090909090909,5.09090909090909
1,95,0,104,5.9,6.1,7.3
1,99,1,109,5.9,8.9,7.6
1,100,0,113,4.45454545454545,7.45454545454545,4.54545454545455
1,108,1,116,4.5,7,3.7
1,112,1,119,8.4,8.8,6.1
1,114,1,122,7.3,8.9,7.2
1,118,0,124,4.27272727272727,8.54545454545454,5.18181818181818
1,120,1,127,2.81818181818182,4.36363636363636,4.81818181818182
1,123,1,128,6,7.1,5.2
1,125,0,130,5.18181818181818,7.63636363636364,4.36363636363636
1,126,1,139,5.4,6.7,3.1
1,129,0,145,4.36363636363636,4.36363636363636,3.72727272727273
1,134,0,151,4.09090909090909,7.36363636363636,6.81818181818182
1,136,1,157,5.8,8.1,6.3
1,140,0,161,7.8,7.8,7.6
1,147,0,164,7.3,7.4,6.7
1,159,0,165,5,5.7,7
1,162,0,176,4.81818181818182,7.54545454545455,5.09090909090909
1,163,1,178,5.36363636363636,8.54545454545454,7.72727272727273
1,168,0,180,5.45454545454545,6.72727272727273,5.90909090909091
1,174,1,182,6.1,4.4,6.3
1,177,0,187,4.63636363636364,5.36363636363636,8.72727272727273
1,179,1,191,3.27272727272727,5.54545454545455,5.72727272727273
1,181,0,192,4.45454545454545,4,7.18181818181818
1,184,0,194,3,3.5,5.9
1,190,0,205,3.45454545454545,3.81818181818182,5.63636363636364
1,203,1,206,5,9.2,8.5
1,208,1,209,6.9,8.2,7.2
2,3,1,1,5,6.5,6.1
2,17,1,2,4.72727272727273,7,7.81818181818182
2,18,0,7,6.54545454545455,7.27272727272727,6.36363636363636
2,23,1,12,4.45454545454545,5.72727272727273,7.54545454545455
2,28,1,19,4.36363636363636,6.36363636363636,6.81818181818182
2,31,0,21,6.27272727272727,6.18181818181818,6.18181818181818
2,34,1,27,6.63636363636364,8.63636363636364,7.18181818181818
2,39,1,30,6.36363636363636,7.45454545454545,7.90909090909091
2,50,0,36,3.8,4.3,7.1
2,64,0,38,5.6,6.6,7.8
2,70,1,53,3,4.18181818181818,5.18181818181818
2,74,0,62,5.09090909090909,7.81818181818182,7
2,76,1,68,4.63636363636364,5.72727272727273,5.27272727272727
2,80,0,69,4.9,6,6.4
2,85,1,75,5.18181818181818,5.90909090909091,6.63636363636364
2,87,1,77,3.72727272727273,6.54545454545455,6
2,90,1,78,6,7.2,8.1
2,93,0,81,8,7.72727272727273,8
2,97,0,86,4.72727272727273,7.45454545454545,6.63636363636364
2,103,0,88,4.09090909090909,7.63636363636364,6.45454545454545
2,104,0,95,6.09090909090909,7.18181818181818,5.54545454545455
2,109,1,99,3.7,4.9,6.5
2,113,1,100,6.54545454545455,6.81818181818182,5.81818181818182
2,116,1,108,6,7.6,8
2,119,1,112,5.3,9.1,8.5
2,122,1,114,5.9,4.9,3.9
2,124,1,118,4.90909090909091,6.90909090909091,5.63636363636364
2,127,1,120,4.6,8.1,4.8
2,128,0,123,6.4,5.7,6.2
2,130,0,125,5.90909090909091,5.72727272727273,2.45454545454545
2,139,0,126,6.18181818181818,7.81818181818182,6.27272727272727
2,145,0,129,5.3,2.7,3.6
2,151,0,134,6.09090909090909,6.63636363636364,5.45454545454545
2,157,1,136,5.63636363636364,6.45454545454545,6
2,161,0,140,5.72727272727273,6.18181818181818,6
2,164,0,147,3.54545454545455,7.72727272727273,6.63636363636364
2,165,0,159,5,5.81818181818182,6.72727272727273
2,176,0,162,3.27272727272727,3.09090909090909,6.90909090909091
2,178,1,163,6.18181818181818,5.27272727272727,6.90909090909091
2,180,0,168,3.7,3.7,6.7
2,182,0,174,3.27272727272727,4,6.09090909090909
2,187,0,177,4.18181818181818,6,6.54545454545455
2,191,1,179,3,5,6.81818181818182
2,192,0,181,3,4.90909090909091,5.45454545454545
2,194,1,184,7.6,8.3,7.5
2,205,1,190,5.63636363636364,6.72727272727273,6.54545454545455
2,206,0,203,6.8,8.8,8
2,209,1,208,6.6,9.2,7.7
