subject,group,idnews,theme,veracity,eval,eval_RT,judgment,success,rec,rec_RT,WTP,WTP_RT,ambiguity,split,desirability,SOS_Méditerranée,FEMEN,Génération_Identitaire,La_Manif_Pour_Tous,Greenpeace,WWF,NIPCC,Climato_réalistes,Mouvement_Européen_France,Fondation_Robert_Schuman,Frexit,Parti_Libertarien,age,sex,education
1,2,151,1,1,35,9170,1,1,2,1724,3,3675,5.90909090909091,6.45454545454545,5.63636363636364,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,23,1,1,100,28408,1,1,2,1117,1,3070,4.90909090909091,6.09090909090909,7.45454545454545,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,124,1,0,-32,32303,0,1,2,7870,1,2588,4.72727272727273,7,5.90909090909091,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,80,1,1,46,7602,1,1,2,904,1,1805,4.9,6,6.4,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,34,1,1,-34,18735,0,0,1,762,3,2986,6.54545454545455,8.36363636363636,7,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,97,1,0,51,10844,1,0,1,1729,3,4155,4.72727272727273,7.45454545454545,6.63636363636364,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,180,1,1,-100,28243,0,0,2,994,1,2245,3.7,3.7,6.7,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,104,1,1,52,12140,1,1,2,714,2,2286,6.09090909090909,7.18181818181818,5.54545454545455,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,206,3,0,35,68906,1,0,2,3025,2,2450,6.8,8.8,8,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,187,3,0,100,36088,1,0,2,1544,2,2909,4.45454545454545,6.36363636363636,6.63636363636364,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,39,3,1,51,10452,1,1,1,806,3,3179,6.36363636363636,7.45454545454545,7.90909090909091,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,93,3,0,23,42439,1,0,2,2864,2,2281,8,7.72727272727273,8,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,178,3,1,-46,18790,0,0,1,845,3,2058,6.18181818181818,5.27272727272727,6.90909090909091,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,209,3,0,31,10663,1,0,2,2555,2,1848,6.6,9.2,7.7,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,205,3,1,45,15915,1,1,2,3150,2,2919,5.63636363636364,6.72727272727273,6.54545454545455,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,128,3,1,35,28822,1,1,1,1981,2,2279,6.4,5.6,5.9,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,176,3,1,-72,12320,0,0,2,32302,2,1993,3.54545454545455,3.45454545454545,7.27272727272727,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,119,3,0,-84,8986,0,1,2,827,2,2442,5.6,8.9,8.2,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,31,3,0,32,24927,1,0,1,712,2,1743,6.27272727272727,6.18181818181818,6.18181818181818,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,130,3,0,-19,12990,0,1,1,1412,2,2027,5.90909090909091,5.72727272727273,2.45454545454545,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,64,2,0,26,19049,1,0,1,603,2,1914,5.6,6.6,7.8,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,3,3,1,90,7243,1,1,2,1204,3,2139,5.2,6.4,5.9,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,194,3,1,14,14381,1,1,1,595,3,1935,7.5,8,7.4,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,191,3,1,-33,26169,0,0,1,861,2,2207,3.45454545454545,5.36363636363636,7.09090909090909,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,145,2,1,17,21608,1,1,1,562,3,1850,5,2.9,3.9,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,103,2,1,-46,14001,0,0,1,600,3,2347,4.09090909090909,7.63636363636364,6.45454545454545,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,76,2,1,36,12092,1,1,2,638,2,2209,4.81818181818182,5.63636363636364,5.63636363636364,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,74,2,1,-37,14654,0,0,1,887,2,2371,5.09090909090909,7.81818181818182,7,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,90,2,0,33,16092,1,0,1,1769,3,4253,6,7.2,8.1,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,116,2,0,52,16523,1,0,2,2403,2,2115,6,7.6,8,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
