subject,group,idnews,theme,veracity,eval,eval_RT,judgment,success,rec,rec_RT,WTP,WTP_RT,ambiguity,split,desirability,SOS_Mediterranee,FEMEN,Generation_Identitaire,La_Manif_Pour_Tous,Greenpeace,WWF,NIPCC,Climato_realistes,Mouvement_Europeen_France,Fondation_Robert_Schuman,Frexit,Parti_Libertarien,age,sex,education,EC,prcnt_politique,prcnt_journaliste,prcnt_medecin,prcnt_acteurjustsoc,prcnt_chercheur,prcnt_acteurecologie,prcnt_general,year,Brier,consensuality,order
1,2,3,1,1,70,43379,1,1,1,3070,20,9514,5,6.5,6.1,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,3.5,16
1,2,17,1,1,67,7109,0,0,1,2952,4,2302,4.72727272727273,7,7.81818181818182,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,3,35
1,2,18,1,0,57,7746,0,1,0,537,13,1425,6.54545454545455,7.27272727272727,6.36363636363636,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,2.72727272727273,46
1,2,23,1,1,20,21048,1,1,1,3249,20,3655,4.45454545454545,5.72727272727273,7.54545454545455,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,4.27272727272727,2
1,2,28,1,1,56,10414,1,1,0,12306,17,2501,4.36363636363636,6.36363636363636,6.81818181818182,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,3.63636363636364,23
1,2,31,1,0,50,12589,1,0,0,8901,1,4374,6.27272727272727,6.18181818181818,6.18181818181818,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,3.81818181818182,9
1,2,34,1,1,68,14450,1,1,0,1215,19,1809,6.63636363636364,8.63636363636364,7.18181818181818,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,1.36363636363636,28
1,2,39,1,1,56,10957,1,1,1,2091,16,1119,6.36363636363636,7.45454545454545,7.90909090909091,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,2.54545454545455,29
1,2,50,3,0,100,9848,1,0,0,1263,18,3412,3.8,4.3,7.1,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,5.7,24
1,2,64,3,0,25,16916,1,0,0,6025,1,4971,5.6,6.6,7.8,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,3.4,3
1,2,70,3,1,34,12626,0,0,1,7878,7,3398,3,4.18181818181818,5.18181818181818,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,5.81818181818182,12
1,2,74,3,0,55,9005,1,0,0,890,15,1248,5.09090909090909,7.81818181818182,7,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,2.18181818181818,42
1,2,76,3,1,35,7872,1,1,1,3900,22,4439,4.63636363636364,5.72727272727273,5.27272727272727,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,4.27272727272727,6
1,2,80,3,0,18,7691,1,0,1,1162,5,3227,4.9,6,6.4,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,4,32
1,2,85,3,1,73,7216,1,1,0,639,19,1383,5.18181818181818,5.90909090909091,6.63636363636364,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,4.09090909090909,47
1,2,87,3,1,83,20691,1,1,0,2931,19,1331,3.72727272727273,6.54545454545455,6,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,3.45454545454545,31
1,2,90,3,1,72,10832,1,1,0,1434,7,3335,6,7.2,8.1,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,2.8,36
1,2,93,3,0,49,9253,1,0,1,2506,18,2147,8,7.72727272727273,8,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,2.27272727272727,39
1,2,97,3,0,71,9598,1,0,0,6804,14,8033,4.72727272727273,7.45454545454545,6.63636363636364,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,2.54545454545455,15
1,2,103,3,0,60,13115,1,0,1,6251,20,4431,4.09090909090909,7.63636363636364,6.45454545454545,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,2.36363636363636,21
1,2,104,2,0,53,9755,0,1,0,1025,9,1675,6.09090909090909,7.18181818181818,5.54545454545455,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,2.81818181818182,40
1,2,109,3,1,51,7881,0,0,1,4597,17,1219,3.7,4.9,6.5,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,5.1,26
1,2,113,3,1,69,19272,0,0,1,12136,10,2710,6.54545454545455,6.81818181818182,5.81818181818182,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,3.18181818181818,8
1,2,116,3,1,62,15580,1,1,0,5756,18,6371,6,7.6,8,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,2.4,27
1,2,119,2,1,100,6840,0,0,0,5078,0,4304,5.3,9.1,8.5,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,0.9,18
1,2,122,2,1,66,6814,1,1,1,1450,12,1714,5.9,4.9,3.9,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,5.1,25
1,2,124,2,1,82,6143,0,0,0,3792,7,2945,4.90909090909091,6.90909090909091,5.63636363636364,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,3.09090909090909,34
1,2,127,2,1,30,42552,1,1,1,10309,17,6078,4.6,8.1,4.8,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,1.9,4
1,2,128,2,0,71,6140,0,1,0,859,17,2792,6.4,5.7,6.2,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,4.3,30
1,2,130,2,0,65,6144,1,0,0,623,16,1201,5.90909090909091,5.72727272727273,2.45454545454545,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,4.27272727272727,45
1,2,139,2,0,100,5504,0,1,0,3547,20,3239,6.18181818181818,7.81818181818182,6.27272727272727,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,2.18181818181818,22
1,2,145,2,0,75,13834,1,0,1,3905,20,4890,5.3,2.7,3.6,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,7.3,7
1,2,151,2,0,100,10235,0,1,0,8054,25,3868,6.09090909090909,6.63636363636364,5.45454545454545,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,3.36363636363636,5
1,2,157,2,1,60,16966,1,1,0,2780,16,5921,5.63636363636364,6.45454545454545,6,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,3.54545454545455,1
1,2,161,2,0,54,6590,1,0,0,889,15,1089,5.72727272727273,6.18181818181818,6,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,3.81818181818182,38
1,2,164,3,0,73,14463,0,1,0,1337,17,1103,3.54545454545455,7.72727272727273,6.63636363636364,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,2.27272727272727,48
1,2,165,1,0,46,6279,0,1,0,658,17,1098,5,5.81818181818182,6.72727272727273,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,4.18181818181818,43
1,2,176,1,0,99,6883,1,0,0,6296,1,5118,3.27272727272727,3.09090909090909,6.90909090909091,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,6.90909090909091,37
1,2,178,1,1,40,11172,1,1,0,688,17,2453,6.18181818181818,5.27272727272727,6.90909090909091,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,4.72727272727273,41
1,2,180,1,0,80,11152,1,0,1,4884,8,5786,3.7,3.7,6.7,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,6.3,13
1,2,182,1,0,20,9743,1,0,1,4564,20,4879,3.27272727272727,4,6.09090909090909,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,6,14
1,2,187,1,0,100,5391,1,0,0,3768,16,4968,4.18181818181818,6,6.54545454545455,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,4,19
1,2,191,1,1,84,25164,0,0,0,5922,25,3653,3,5,6.81818181818182,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,5,10
1,2,192,1,0,100,13165,0,1,0,7584,25,4689,3,4.90909090909091,5.45454545454545,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,5.09090909090909,11
1,2,194,2,1,41,24687,1,1,0,1912,13,1564,7.6,8.3,7.5,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,1.7,20
1,2,205,2,1,35,8433,0,0,0,3119,15,1221,5.63636363636364,6.72727272727273,6.54545454545455,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,3.27272727272727,33
1,2,206,2,0,40,23401,0,1,1,4630,20,8880,6.8,8.8,8,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,1.2,17
1,2,209,2,1,25,8263,1,1,0,800,16,1838,6.6,9.2,7.7,60,43,21,48,83,60,14,57,26,45,31,57,18,1,3,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.09,0.800000000000001,44
2,2,3,1,1,55,39265,1,1,0,981,1,1143,5,6.5,6.1,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,3.5,17
2,2,17,1,1,50,28748,0,0,0,2922,1,1422,4.72727272727273,7,7.81818181818182,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,3,16
2,2,18,1,0,25,9325,0,1,1,1260,10,2671,6.54545454545455,7.27272727272727,6.36363636363636,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,2.72727272727273,39
2,2,23,1,1,90,9384,1,1,0,1477,1,1404,4.45454545454545,5.72727272727273,7.54545454545455,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,4.27272727272727,10
2,2,28,1,1,60,23338,0,0,1,12992,5,5994,4.36363636363636,6.36363636363636,6.81818181818182,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,3.63636363636364,25
