subjectGroup,GMT_timestamp,local_timestamp,mindsCode,link,calibration,id,age,sex,education,handedness,nationality,completionCode
"2",2020-11-18_15:39:34,2020-11-18_16:39:34,M072852,https://www.testable.org/experiment/4303/294929/start?participant=M072852,1.03,M072852,"27",male,Bachelor degree,right-handed,Française,4P87xnNwgfCxNobt

rowNo,trialNo,type,title,fixation,ITI,trialText,trialTextPos,trialTextOptions,stim1,stimPos,button1,button2,if,then,label,responsePos,head,body,responseOptions,subjectGroup,random,randomBlock,responseRows,required,stimFormat,pageBreak,pageName,bgColor,textColor,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
16,Climato-realistes,form,"","","","","","","","","","","","","","","<b><font size=""6""><center>Climato-réalistes</center></font></b>","<font size=""4""><p align=”justify”>Apparu en France en 2015, le climatoréalisme voit dans le climat un objet de science et non d’idéologie. Les évolutions climatiques sont multiples et mal comprises, si bien que rien ne prouve que notre mode de vie causerait un « dérèglement climatique ». Le dire n’est pas de l’égoïsme, du déni ou de l’antiécologisme, mais du réalisme. Nous devons réfléchir à la meilleure manière d’utiliser nos ressources, et porter nos efforts là où ils sont vraiment utiles. <br/><br/> L’association des climato-réalistes a pour objet de promouvoir un débat ouvert et libre sur l’évolution du climat et les questions sociétales et environnementales qui s’y rapportent, en favorisant l’expression sous toutes ses formes d’avis rigoureux et argumentés. <br/><br/>L'association vise à sensibiliser le citoyen aux enjeux du climat et des politiques énergétiques menées au nom de la lutte contre le réchauffement climatique. L’association est apolitique et totalement libre dans l’expression de ses idées. Elle s’attache à diffuser une information fiable recueillie auprès de sources sérieuses.</p></font>",1_7_1;4,"","1","0","<b>A quel point cette organisation vous est-elle familière ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point trouvez-vous que les valeurs de cette organisation sont proches des vôtres ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point appréciez-vous cette organisation ? </b><br/>(1 = je n'apprécie pas du tout)<br/>(7 = j'apprécie fortement)<br/><br/> ; <b>A quel point cette organisation vous est-elle, selon vous, familière à vos proches ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point vos proches trouveraient-ils, selon vous, que les valeurs de cette organisation sont proches des leurs ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point vos proches apprécieraient-ils, selon vous, cette organisation ?</b><br/>(1 = ils n'apprécieraient pas du tout)<br/>(7 = ils apprécieraient fortement)","",.png,"1",<center>Veuillez évaluer l'organisation suivante</center>,"","","",0,0,0,300486,1_5_3_1_na_3,94808,0,1_5_3_1_na_3
12,La Manif Pour Tous,form,"","","","","","","","","","","","","","","<b><font size=""6""><center>La Manif Pour Tous</center></font></b>","<font size=""4""><p align=”justify”> La Manif Pour Tous défend le mariage et la filiation en cohérence avec la réalité sexuée de l’humanité, dont la conséquence est à la fois la différence et la complémentarité des sexes, incontournable pour concevoir un enfant et assumer la différence père-mère, paternité-maternité. Notre finalité est le respect de l’intérêt supérieur et des besoins élémentaires de l’enfant, aujourd’hui menacés par les réformes sociétales inspirées par l’idéologie du genre. <br/><br/>La Manif Pour Tous se situe dans une démarche pragmatique dont l’objectif est de favoriser le bien-être et l’avenir de l’enfant, de l’adulte et de la société dans son ensemble, ce qu’on appelle couramment l’intérêt général. Elle agit pour les générations présentes et à venir. <br/><br/> Enfin, La Manif Pour Tous rappelle que la famille est le carrefour de la différence des sexes et de la différence des générations. Seul ce contexte répond aux besoins essentiels de l’enfant pour venir au monde, connaître son identité personnelle, entrer peu à peu en relations avec les autres, s’insérer dans le groupe puis dans la société, contribuer à la paix sociale. </p></font>",1_7_1;4,"","1","0","<b>A quel point cette organisation vous est-elle familière ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point trouvez-vous que les valeurs de cette organisation sont proches des vôtres ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point appréciez-vous cette organisation ? </b><br/>(1 = je n'apprécie pas du tout)<br/>(7 = j'apprécie fortement)<br/><br/> ; <b>A quel point cette organisation vous est-elle, selon vous, familière à vos proches ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point vos proches trouveraient-ils, selon vous, que les valeurs de cette organisation sont proches des leurs ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point vos proches apprécieraient-ils, selon vous, cette organisation ?</b><br/>(1 = ils n'apprécieraient pas du tout)<br/>(7 = ils apprécieraient fortement)","",.png,"1",<center>Veuillez évaluer l'organisation suivante</center>,"","","",0,0,0,332431,7_1_1_7_1_1,31044,0,7_1_1_7_1_1
19,Frexit,form,"","","","","","","","","","","","","","","<b><font size=""6""><center>Frexit</center></font></b>","<font size=""4""><p align=”justify”>FRANCE FREXIT est une initiative privée et totalement libre et indépendante, créée en Mars 2018 et visant à informer, rassembler, échanger, proposer sur la thématique du Frexit. En toute légalité, sans aucune violence, et dans le respect des Institutions. <br/><br/> Profitant de l’opportunité historique du Frexit, FRANCE FREXIT propose la réforme complète de la République et de l’Etat Français par une grande COORDINATION NATIONALE FRANCAISE, basée sur une nouvelle formule de Pouvoir, incluant une organisation réellement démocratique prenant le meilleur de la République et laissant le moins bon, et utilisant les moyens modernes de communication : votations, votations électroniques, tirages au sort,  ainsi que certains aspects monarchiques, principalement en terme de spiritualité et de transmission des valeurs universelles et traditionnelles de la France. <br/><br/>FRANCE FREXIT s’oppose politiquement aux partis euro-extrémistes et euro-identitaires que sont notamment LaREM, LR, MODEM, EELV, PS, UDI, Parti Radical. FRANCE FREXIT ne soutient pas pour autant les partis euro-alternatifs et autres partis-leurres que sont le RN, la LFI ou encore DLF, le NPA, LO et quelques autres partis euro-compatibles.</p></font>",1_7_1;4,"","1","0","<b>A quel point cette organisation vous est-elle familière ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point trouvez-vous que les valeurs de cette organisation sont proches des vôtres ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point appréciez-vous cette organisation ? </b><br/>(1 = je n'apprécie pas du tout)<br/>(7 = j'apprécie fortement)<br/><br/> ; <b>A quel point cette organisation vous est-elle, selon vous, familière à vos proches ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point vos proches trouveraient-ils, selon vous, que les valeurs de cette organisation sont proches des leurs ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point vos proches apprécieraient-ils, selon vous, cette organisation ?</b><br/>(1 = ils n'apprécieraient pas du tout)<br/>(7 = ils apprécieraient fortement)","",.png,"1",<center>Veuillez évaluer l'organisation suivante</center>,"","","",0,"","",363444,6_1_1_na_1_1,30123,0,6_1_1_na_1_1
20,Parti Libertarien,form,"","","","","","","","","","","","","","","<b><font size=""6""><center>Parti Libertarien</center></font></b>","<font size=""4""><p align=”justify”>Notre constat est le même que la majorité des Français : le poids de l’état et son périmètre d’action ne cessent d’augmenter, entravant toujours plus nos libertés, avec les résultats catastrophiques que tout le monde constate. <br/><br/>Nous sommes également face à une inflation législative extrêmement préoccupante, l’accumulation de normes, de réglementations et de lois rendent le système incompréhensible pour la majorité des Français et impraticable pour les entrepreneurs. Seuls les grands groupes et les multinationales profitent de cette complexité et peuvent s’étendre sans réelle concurrence. Ces réglementations paralysent toute initiative personnelle, bloquent l’ascenseur social et augmentent les inégalités. <br/><br/>Au-delà des conséquences dramatiques d’une telle intrusion de l’état dans la vie des individus, ce dernier, en voulant réguler chaque aspect de notre quotidien, va au-delà de ses prérogatives et viole notre droit fondamental à gérer notre vie comme bon nous semble. Nous sommes libertariens et nous considérons que c’est aux individus libres d’écrire leur histoire.</p></font>",1_7_1;4,"","1","0","<b>A quel point cette organisation vous est-elle familière ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point trouvez-vous que les valeurs de cette organisation sont proches des vôtres ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point appréciez-vous cette organisation ? </b><br/>(1 = je n'apprécie pas du tout)<br/>(7 = j'apprécie fortement)<br/><br/> ; <b>A quel point cette organisation vous est-elle, selon vous, familière à vos proches ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point vos proches trouveraient-ils, selon vous, que les valeurs de cette organisation sont proches des leurs ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point vos proches apprécieraient-ils, selon vous, cette organisation ?</b><br/>(1 = ils n'apprécieraient pas du tout)<br/>(7 = ils apprécieraient fortement)","",.png,"1",<center>Veuillez évaluer l'organisation suivante</center>,"","","",0,"","",394103,na_1_1_3_1_1,29784,0,na_1_1_3_1_1
14,WWF,form,"","","","","","","","","","","","","","","<b><font size=""6""><center>WWF</center></font></b>","<font size=""4""><p align=”justify”>Le WWF est l’une des toutes premières organisations indépendantes de protection de l’environnement dans le monde. Le WWF œuvre pour mettre un frein à la dégradation de l’environnement naturel de la planète et construire un avenir où les humains vivent en harmonie avec la nature, en conservant la diversité biologique mondiale, en assurant une utilisation soutenable des ressources naturelles renouvelables, et en faisant la promotion de la réduction de la pollution et du gaspillage. <br/><br/> WWF France mène, depuis 1973, des actions concrètes pour sauvegarder les milieux naturels et leurs espèces, assurer la promotion de modes de vie durables, former les décideurs, accompagner les entreprises dans la réduction de leur empreinte écologique, et éduquer les jeunes publics. <br/><br/>Le WWF France, Fondation reconnue d'utilité publique, œuvre pour une planète vivante depuis Paris, Marseille, les Alpes, la Guyane et la Nouvelle-Calédonie. Adepte d'une action fondée sur le dialogue et le respect de l'autre, le WWF adopte une approche globaliste prenant en compte l’interdépendance entre l'état de la planète et le développement humain.</p></font>",1_7_1;4,"","1","0","<b>A quel point cette organisation vous est-elle familière ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point trouvez-vous que les valeurs de cette organisation sont proches des vôtres ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point appréciez-vous cette organisation ? </b><br/>(1 = je n'apprécie pas du tout)<br/>(7 = j'apprécie fortement)<br/><br/> ; <b>A quel point cette organisation vous est-elle, selon vous, familière à vos proches ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point vos proches trouveraient-ils, selon vous, que les valeurs de cette organisation sont proches des leurs ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point vos proches apprécieraient-ils, selon vous, cette organisation ?</b><br/>(1 = ils n'apprécieraient pas du tout)<br/>(7 = ils apprécieraient fortement)","",.png,"1",<center>Veuillez évaluer l'organisation suivante</center>,"","","",0,"","",419147,7_6_5_7_7_7,24160,0,7_6_5_7_7_7
17,Mouvement Europeen France,form,"","","","","","","","","","","","","","","<b><font size=""6""><center>Mouvement Européen France</center></font></b>","<font size=""4""><p align=”justify”>Le Mouvement Européen – France se mobilise depuis 1950, à travers toutes les générations, pour faire vivre un débat public pluraliste sur l’Europe. Il déploie ses activités autour de la pédagogie, de l’organisation du débat entre les citoyens et de la formulation de propositions pour construire l’Europe. <br/><br/> Il rassemble des milliers de bénévoles réunis au sein de plus de 50 sections locales, une vingtaine d’organisations membres ainsi qu’un collège de personnalités qualifiées. Héritier de l’esprit des pères fondateurs de l’Europe, le Mouvement est le premier acteur de la société civile en France sur les enjeux européens. <br/><br/>Il se mobilise également à travers avec sa branche jeune, les Jeunes Européens – France, qui compte 26 groupes locaux répartis sur le territoire. Au niveau européen, le Mouvement Européen est également membre du Mouvement Européen – International, un réseau de 39 organisations qui font résonner notre engagement à travers le continent. Le Mouvement Européen-France est reconnu comme association d’intérêt général depuis le 22 juillet 2016 et est par ailleurs agréé « association éducative complémentaire de l’enseignement public ».</p></font>",1_7_1;4,"","1","0","<b>A quel point cette organisation vous est-elle familière ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point trouvez-vous que les valeurs de cette organisation sont proches des vôtres ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point appréciez-vous cette organisation ? </b><br/>(1 = je n'apprécie pas du tout)<br/>(7 = j'apprécie fortement)<br/><br/> ; <b>A quel point cette organisation vous est-elle, selon vous, familière à vos proches ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point vos proches trouveraient-ils, selon vous, que les valeurs de cette organisation sont proches des leurs ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point vos proches apprécieraient-ils, selon vous, cette organisation ?</b><br/>(1 = ils n'apprécieraient pas du tout)<br/>(7 = ils apprécieraient fortement)","",.png,"1",<center>Veuillez évaluer l'organisation suivante</center>,"","","",0,"","",450351,2_1_1_1_1_1,30326,0,2_1_1_1_1_1
15,NIPCC,form,"","","","","","","","","","","","","","","<b><font size=""6""><center>Groupe d'experts non-gouvernemental sur l'évolution du climat (NIPCC)</center></font></b>","<font size=""4""><p align=”justify”>Le Groupe d'experts non-gouvernemental sur l'évolution du climat (NIPCC) est un groupe international de scientifiques et d'universitaires non gouvernementaux qui se sont réunis pour présenter une évaluation complète, fiable et réaliste de la science et de l'économie du réchauffement climatique. <br/><br/>Puisqu'il n'est pas une agence gouvernementale, et parce que ses membres ne sont pas prédisposés à croire que le changement climatique est causé par les émissions de gaz à effet de serre par l'homme, le NIPCC est en mesure d'offrir une ""seconde opinion"" indépendante des preuves examinées - ou non examinées - par le Groupe d'experts intergouvernemental sur l'évolution du climat (GIEC) sur la question du réchauffement climatique. <br/><br/>Depuis sa fondation en 2008, le NIPCC produit des publications et des rapports à destination des politiques publiques. Ces rapports visent, par exemple, à montrer que l’impact du réchauffement climatique provoqué par l’homme est bénin et pourrait être bénéfique pour l’humanité et le monde naturel ; que les preuves de la montée des eaux ne sont pas fiables ; ou qu’il n’existe pas de consensus scientifique dans le débat sur le changement climatique.</p></font>",1_7_1;4,"","1","0","<b>A quel point cette organisation vous est-elle familière ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point trouvez-vous que les valeurs de cette organisation sont proches des vôtres ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point appréciez-vous cette organisation ? </b><br/>(1 = je n'apprécie pas du tout)<br/>(7 = j'apprécie fortement)<br/><br/> ; <b>A quel point cette organisation vous est-elle, selon vous, familière à vos proches ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point vos proches trouveraient-ils, selon vous, que les valeurs de cette organisation sont proches des leurs ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point vos proches apprécieraient-ils, selon vous, cette organisation ?</b><br/>(1 = ils n'apprécieraient pas du tout)<br/>(7 = ils apprécieraient fortement)","",.png,"1",<center>Veuillez évaluer l'organisation suivante</center>,"","","",0,"","",487794,1_1_1_1_1_1,36564,0,1_1_1_1_1_1
11,Generation Identitaire,form,"","","","","","","","","","","","","","","<b><font size=""6""><center>Génération Identitaire</center></font></b>","<font size=""4""><p align=”justify”>Génération Identitaire est un mouvement politique de jeunesse qui rassemble des garçons et des filles à travers toute l’Europe. Il a été fondé en septembre 2012. <br/><br/> Nous appelons la jeunesse à relever la tête : face à la racaille, face à ceux qui veulent fliquer notre vie et nos pensées, face à l’uniformisation des peuples et des cultures, face au raz de marée de l’immigration massive, face à une Ecole qui nous cache l’histoire de notre peuple pour nous empêcher de l’aimer, face à un prétendu vivre-ensemble qui vire au cauchemar... Génération Identitaire est la première ligne de la résistance. <br/><br/> Conscients des défis qui s’imposent à nous, nous ne refusons aucune bataille. Fiers de notre héritage et confiants dans notre destin, nous n’avons qu’un seul mot d’ordre : on ne recule plus ! Nous sommes la génération sacrifiée, mais pas la génération perdue. Car nous entrons en guerre contre tous ceux qui veulent nous arracher nos racines et nous faire oublier qui nous sommes. Notre idéal est la reconquête, et nous la mènerons jusqu’au bout. Génération Identitaire est la barricade sur laquelle se dresse la jeunesse en lutte pour son identité. </p></font>",1_7_1;4,"","1","0","<b>A quel point cette organisation vous est-elle familière ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point trouvez-vous que les valeurs de cette organisation sont proches des vôtres ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point appréciez-vous cette organisation ? </b><br/>(1 = je n'apprécie pas du tout)<br/>(7 = j'apprécie fortement)<br/><br/> ; <b>A quel point cette organisation vous est-elle, selon vous, familière à vos proches ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point vos proches trouveraient-ils, selon vous, que les valeurs de cette organisation sont proches des leurs ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point vos proches apprécieraient-ils, selon vous, cette organisation ?</b><br/>(1 = ils n'apprécieraient pas du tout)<br/>(7 = ils apprécieraient fortement)","",.png,"1",<center>Veuillez évaluer l'organisation suivante</center>,"","","",0,"","",504398,7_1_1_7_1_1,15723,0,7_1_1_7_1_1
9,SOS Mediterranee,form,"","","","","","","","","","","","","","","<b><font size=""6""><center>SOS Méditerranée</center></font></b>","<font size=""4""><p align=”justify”>SOS Méditerranée est une association civile européenne de sauvetage en mer, indépendante de tout parti politique et de toute confession, créée en 2015 et constituée de citoyens mobilisés face à l’urgence humanitaire en Méditerranée. SOS Méditerranée se fonde sur le respect de l’homme et de sa dignité, quelle que soit sa nationalité, son origine, son appartenance sociale, religieuse, politique ou ethnique. <br/><br/> L'association a vocation à porter assistance à toute personne en détresse sur mer se trouvant dans le périmètre de son action, sans aucune discrimination. Les personnes concernées sont des hommes, femmes ou enfants, migrants ou réfugiés, se retrouvant en danger de mort lors de la traversée de la Méditerranée. L'association vise également à assurer la protection des rescapés jusqu’à leur arrivée dans un port sûr et à témoigner de la situation en Méditerranée centrale. <br/><br/>L'association est financée par des dons privés et des subventions publiques. Les fonds collectés sont alloués à la location du bateau, aux frais quotidiens d’entretien et de sauvetage.</p></font>",1_7_1;4,"","1","0","<b>A quel point cette organisation vous est-elle familière ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point trouvez-vous que les valeurs de cette organisation sont proches des vôtres ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point appréciez-vous cette organisation ? </b><br/>(1 = je n'apprécie pas du tout)<br/>(7 = j'apprécie fortement)<br/><br/> ; <b>A quel point cette organisation vous est-elle, selon vous, familière à vos proches ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point vos proches trouveraient-ils, selon vous, que les valeurs de cette organisation sont proches des leurs ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point vos proches apprécieraient-ils, selon vous, cette organisation ?</b><br/>(1 = ils n'apprécieraient pas du tout)<br/>(7 = ils apprécieraient fortement)","",.png,"1",<center>Veuillez évaluer l'organisation suivante</center>,"","","",0,"","",536852,na_5_6_5_7_7,31570,0,na_5_6_5_7_7
10,FEMEN,form,"","","","","","","","","","","","","","","<b><font size=""6""><center>FEMEN</center></font></b>","<font size=""4""><p align=”justify”>FEMEN est un mouvement international d'activistes politiques féministes aux torses nus, peints de slogans, et aux têtes couronnées de fleurs. Nos slogans sont courts et percutants, nos poitrines sont nos étendards. De la nécessité militante naît l'accomplissement d'actions puissantes et provocantes mais toujours non-violentes. Le mouvement est né en 2008 à Kiev en Ukraine. Dès 2010, les activistes se politisent et utilisent leur poitrine comme support de leurs revendications. <br/><br/>Avec nos actions provocantes et retentissantes, nous ciblons les multiples manifestations de l’ordre patriarcal : dictatures, industrie du sexe et religions. Nous sommes une revanche féminine contre la culture patriarcale sclérosée. Nous sommes une expression de la liberté et du pluralisme. <br/><br/> Notre ambition est de changer les mentalités et l’image publique des femmes en exposant notre force, notre courage et nos convictions. C’est en développant notre action politique que nous parviendrons à changer notre réalité même la plus intime. </p></font>",1_7_1;4,"","1","0","<b>A quel point cette organisation vous est-elle familière ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point trouvez-vous que les valeurs de cette organisation sont proches des vôtres ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point appréciez-vous cette organisation ? </b><br/>(1 = je n'apprécie pas du tout)<br/>(7 = j'apprécie fortement)<br/><br/> ; <b>A quel point cette organisation vous est-elle, selon vous, familière à vos proches ? </b><br/>(1 = pas du tout familière)<br/>(7 = très familière)<br/><br/>; <b>A quel point vos proches trouveraient-ils, selon vous, que les valeurs de cette organisation sont proches des leurs ? </b><br/>(1 = pas du tout proches)<br/>(7 = très proches)<br/><br/> ; <b>A quel point vos proches apprécieraient-ils, selon vous, cette organisation ?</b><br/>(1 = ils n'apprécieraient pas du tout)<br/>(7 = ils apprécieraient fortement)","",.png,"1",<center>Veuillez évaluer l'organisation suivante</center>,"","","",0,"","",563673,7_5_na_7_na_6,25949,0,7_5_na_7_na_6
